Username,Judul,Tipe Koleksi,Tanggal Dipinjam,Harus Kembali,Status Pengembalian
,Bank dan asuransi islam di indonesia,Buku Teks,1/31/2022,2/7/2022,Sudah Kembali
,Perbankan Syariah,Buku Teks,1/31/2022,2/7/2022,Sudah Kembali
,"""Bank syari'ah, dari teori ke praktik = islamic banking""",Buku Teks,1/31/2022,2/7/2022,Sudah Kembali
,Bank dan Lembaga Keuangan Syariah : Deskripsi dan ilustrasi,Buku Teks,1/31/2022,2/7/2022,Sudah Kembali
,Ayat-ayat politik: studi kritid penafsiran Muhammad Asad (1900-1992),Buku Teks,1/31/2022,2/7/2022,Sudah Kembali
pascasarjana,Metodolgi Fiqih Sosial,Buku Teks,1/31/2022,2/7/2022,Sudah Kembali
pascasarjana,Fiqh Prioritas : sebuah kajian baru berdasarkan Al-Qur'an dan As-Sunnah,Buku Teks,1/31/2022,2/7/2022,Sudah Kembali
pascasarjana,Dakwah di kalangan masyarakat Betawi : pemikiran dan kiprah dakwah KH. Muhammad Syafi'i Hadzami 1990-2000,Tesis,1/31/2022,3/2/2022,Sudah Kembali
,Be Living Quran,Buku Teks,1/28/2022,2/4/2022,Sudah Kembali
,"Ilmu living quran-hadis: ontologi, epistemologi, dan asiologi",Buku Teks,1/28/2022,2/4/2022,Sudah Kembali
,Digital Religion: understanding religious practice,Buku Teks,1/28/2022,2/4/2022,Sudah Kembali
,Sirah Nabi : Buku Sejarah Muhammad SAW,Buku Teks,1/28/2022,2/4/2022,Sudah Kembali
,Mereka Memalsukan Kitab-Kitab Karya Ulama Klasik: Episode Kebohongan Publik Sekte Salafi Wahabi,Buku Teks,1/28/2022,2/4/2022,Sudah Kembali
,Syiah Menurut Syiah,Buku Teks,1/28/2022,2/4/2022,Sudah Kembali
,Yahudi-Yahudi Islam: the Jews of Islam,Buku Teks,1/28/2022,2/4/2022,Sudah Kembali
pascasarjana,Manajemen Pendidikan,Buku Teks,1/27/2022,2/3/2022,Sudah Kembali
pascasarjana,Revolusi Metodologi Pembelajaran Bahasa Arab pendekatan komunikatif ke pendekatan kambiumi,Buku Teks,1/27/2022,2/3/2022,Sudah Kembali
pascasarjana,Metodologi Pembelajaran Bahasa Arab,Buku Teks,1/27/2022,2/3/2022,Sudah Kembali
pascasarjana,Perencanaan Pembelajaran : Mengembangkan standar kompetensi guru,Buku Teks,1/27/2022,2/3/2022,Sudah Kembali
,Pelaksanaan Toleransi beragama dalam Masyarakat To Dolo dan Masyarakat Islam di toraja,Disertasi,1/27/2022,2/3/2022,Sudah Kembali
,Sastra dan Ilmu Sastra,Buku Teks,1/26/2022,2/2/2022,Sudah Kembali
,Psikolinguistik: Kajian teoretik,Buku Teks,1/26/2022,2/2/2022,Sudah Kembali
,Keadilan Sosial Dalam Islam,Buku Teks,1/26/2022,2/2/2022,Sudah Kembali
,Halal dan Haram : al-hala wa al-haram fi al-Islam,Buku Teks,1/26/2022,2/2/2022,Sudah Kembali
,Syekh Yusuf Makasar: riwayat dan ajarannya,Buku Teks,1/26/2022,2/2/2022,Sudah Kembali
,"Para sahabat nabi: kisah perjuangan, pengorbanan dan keteladanan",Buku Teks,1/26/2022,2/2/2022,Sudah Kembali
,Diwan Imam Asy-Syafi'ie,Buku Teks,1/26/2022,2/2/2022,Sudah Kembali
,Moderasi Islam: menangkal radikalisasi berbasis agama,Buku Teks,1/26/2022,2/2/2022,Sudah Kembali
,Islam Beyond Conflict : Indonesian Islam And Western Political Theory,Buku Teks,1/26/2022,2/2/2022,Sudah Kembali
pascasarjana,Multicultural citizenship,Buku Teks,1/25/2022,2/1/2022,Sudah Kembali
pascasarjana,The Transformation of Islamic Law in Global Financial Markets,Buku Teks,1/25/2022,2/1/2022,Sudah Kembali
pascasarjana,Menilai Harga Wajar Saham,Buku Teks,1/25/2022,2/1/2022,Sudah Kembali
pascasarjana,Economic data for investors in Indonesia,Buku Teks,1/25/2022,2/1/2022,Sudah Kembali
pascasarjana,Pasar modal sebagai sarana pembiayaan dan investasi,Buku Teks,1/25/2022,2/1/2022,Sudah Kembali
pascasarjana,Investasi Pada Pasar Modal Syariah,Buku Teks,1/25/2022,2/1/2022,Sudah Kembali
pascasarjana,Hukum Pasar Modal di Indonesia,Buku Teks,1/25/2022,2/1/2022,Sudah Kembali
pascasarjana,The Transformation of Islamic Law in Global Financial Markets,Buku Teks,1/25/2022,2/1/2022,Sudah Kembali
pascasarjana,Menilai Harga Wajar Saham,Buku Teks,1/25/2022,2/1/2022,Sudah Kembali
pascasarjana,Economic data for investors in Indonesia,Buku Teks,1/25/2022,2/1/2022,Sudah Kembali
pascasarjana,Pasar modal sebagai sarana pembiayaan dan investasi,Buku Teks,1/25/2022,2/1/2022,Sudah Kembali
pascasarjana,Investasi Pada Pasar Modal Syariah,Buku Teks,1/25/2022,2/1/2022,Sudah Kembali
pascasarjana,Hukum Pasar Modal di Indonesia,Buku Teks,1/25/2022,2/1/2022,Sudah Kembali
pascasarjana,"Secularism, Religion and Multicultural Citizenship",Buku Teks,1/25/2022,2/1/2022,Sudah Kembali
pascasarjana,Dialog : Jurnal Penelitian dan Kajian Keagamaan,Jurnal,1/25/2022,1/26/2022,Sudah Kembali
pascasarjana,Membumikan Islam Nusantara,Buku Teks,1/25/2022,2/1/2022,Sudah Kembali
pascasarjana,Gagasan multikulturalisme dalam konteks kelompok keagamaan: perspektif William A. Galston dan Yusuf Al-Qardawi,Tesis,1/25/2022,2/1/2022,Sudah Kembali
pascasarjana,Multiculturalism in Canada: The Challenge of Diversity,Buku Teks,1/25/2022,2/1/2022,Sudah Kembali
pascasarjana,Multiculturalism Reconsidered,Buku Teks,1/25/2022,2/1/2022,Sudah Kembali
pascasarjana,Kontestasi atas teologi politik wahabisme,Disertasi,1/24/2022,1/31/2022,Sudah Kembali
pascasarjana,"Islam, doktrin dan isu-isu kontemporer",Buku Teks,1/24/2022,1/31/2022,Sudah Kembali
,Islam dan pluralitas agama dalam al-Qur'an implikasinya terhadap toleransi umat Islam,Tesis,1/24/2022,1/31/2022,Sudah Kembali
,Toleransi Beragama Berbasis Budaya Lokal,Disertasi,1/24/2022,1/31/2022,Sudah Kembali
pascasarjana,Akulturasi Nilai - Nilai Persaudaraan Islam Model Dayah Aceh,Buku Teks,1/24/2022,1/31/2022,Sudah Kembali
